FPR	TPR	THR
0.000000	0.000000	inf
0.000000	0.002165	8.539062
0.000000	0.012987	8.359375
0.000000	0.017316	8.312500
0.000000	0.023810	8.210938
0.002252	0.023810	8.195312
0.002252	0.030303	8.109375
0.002252	0.034632	8.101562
0.002252	0.041126	8.093750
0.002252	0.049784	8.054688
0.002252	0.054113	8.023438
0.002252	0.060606	7.984375
0.002252	0.069264	7.972656
0.002252	0.077922	7.871094
0.002252	0.082251	7.859375
0.002252	0.084416	7.851562
0.002252	0.088745	7.847656
0.002252	0.097403	7.804688
0.004505	0.097403	7.785156
0.004505	0.099567	7.777344
0.004505	0.106061	7.773438
0.004505	0.110390	7.769531
0.004505	0.119048	7.738281
0.004505	0.123377	7.730469
0.006757	0.125541	7.726562
0.006757	0.129870	7.714844
0.006757	0.134199	7.703125
0.006757	0.136364	7.699219
0.006757	0.140693	7.687500
0.006757	0.145022	7.664062
0.009009	0.145022	7.660156
0.009009	0.147186	7.656250
0.009009	0.151515	7.648438
0.011261	0.153680	7.644531
0.011261	0.155844	7.628906
0.011261	0.162338	7.621094
0.013514	0.164502	7.617188
0.013514	0.168831	7.601562
0.013514	0.177489	7.566406
0.015766	0.181818	7.558594
0.018018	0.181818	7.546875
0.018018	0.194805	7.507812
0.020270	0.196970	7.503906
0.020270	0.199134	7.500000
0.020270	0.203463	7.492188
0.020270	0.207792	7.472656
0.020270	0.212121	7.464844
0.020270	0.216450	7.445312
0.020270	0.222944	7.437500
0.024775	0.222944	7.421875
0.024775	0.231602	7.402344
0.027027	0.233766	7.398438
0.029279	0.233766	7.394531
0.029279	0.235931	7.390625
0.029279	0.240260	7.386719
0.029279	0.242424	7.382812
0.029279	0.248918	7.375000
0.029279	0.251082	7.371094
0.029279	0.255411	7.363281
0.029279	0.257576	7.359375
0.033784	0.261905	7.355469
0.033784	0.272727	7.324219
0.033784	0.279221	7.320312
0.036036	0.279221	7.308594
0.036036	0.281385	7.304688
0.036036	0.285714	7.300781
0.036036	0.287879	7.296875
0.036036	0.292208	7.289062
0.036036	0.294372	7.285156
0.036036	0.298701	7.281250
0.036036	0.309524	7.246094
0.038288	0.309524	7.242188
0.038288	0.316017	7.222656
0.038288	0.322511	7.214844
0.038288	0.331169	7.210938
0.038288	0.333333	7.207031
0.038288	0.341991	7.203125
0.038288	0.344156	7.199219
0.038288	0.348485	7.191406
0.038288	0.350649	7.179688
0.038288	0.359307	7.171875
0.038288	0.365801	7.164062
0.038288	0.367965	7.160156
0.038288	0.372294	7.144531
0.042793	0.374459	7.136719
0.042793	0.378788	7.132812
0.045045	0.380952	7.128906
0.045045	0.387446	7.121094
0.045045	0.393939	7.097656
0.045045	0.398268	7.093750
0.045045	0.402597	7.078125
0.045045	0.406926	7.074219
0.045045	0.411255	7.066406
0.045045	0.428571	7.050781
0.047297	0.430736	7.046875
0.047297	0.432900	7.042969
0.047297	0.441558	7.035156
0.047297	0.445887	7.011719
0.047297	0.450216	7.007812
0.047297	0.452381	6.980469
0.047297	0.456710	6.976562
