FPR	TPR	THR
0.000000	0.000000	inf
0.000000	0.002165	2.353516
0.000000	0.043290	2.208984
0.000000	0.047619	2.199219
0.000000	0.058442	2.152344
0.000000	0.064935	2.140625
0.000000	0.069264	2.138672
0.000000	0.084416	2.085938
0.000000	0.088745	2.072266
0.002252	0.088745	2.068359
0.002252	0.123377	1.960938
0.002252	0.127706	1.955078
0.002252	0.136364	1.944336
0.004505	0.138528	1.940430
0.004505	0.155844	1.900391
0.004505	0.160173	1.883789
0.004505	0.162338	1.874023
0.004505	0.166667	1.872070
0.004505	0.170996	1.866211
0.004505	0.175325	1.861328
0.006757	0.175325	1.859375
0.006757	0.177489	1.852539
0.009009	0.177489	1.838867
0.009009	0.179654	1.837891
0.011261	0.179654	1.834961
0.011261	0.183983	1.831055
0.011261	0.194805	1.813477
0.011261	0.199134	1.802734
0.013514	0.199134	1.801758
0.013514	0.220779	1.759766
0.013514	0.225108	1.755859
0.013514	0.233766	1.732422
0.015766	0.235931	1.728516
0.018018	0.235931	1.723633
0.018018	0.251082	1.709961
0.018018	0.259740	1.700195
0.018018	0.283550	1.651367
0.018018	0.292208	1.646484
0.018018	0.322511	1.575195
0.018018	0.326840	1.570312
0.018018	0.344156	1.537109
0.018018	0.348485	1.532227
0.018018	0.350649	1.530273
0.018018	0.354978	1.526367
0.018018	0.359307	1.516602
0.020270	0.361472	1.513672
0.020270	0.367965	1.506836
0.022523	0.367965	1.504883
0.022523	0.372294	1.500000
0.022523	0.380952	1.489258
0.024775	0.380952	1.488281
0.024775	0.387446	1.483398
0.027027	0.387446	1.482422
0.027027	0.393939	1.474609
0.027027	0.398268	1.466797
0.027027	0.409091	1.426758
0.031532	0.409091	1.422852
0.031532	0.419913	1.408203
0.031532	0.426407	1.405273
0.036036	0.426407	1.402344
0.036036	0.428571	1.397461
0.042793	0.428571	1.380859
0.042793	0.432900	1.378906
0.042793	0.437229	1.377930
0.042793	0.439394	1.375977
0.042793	0.445887	1.371094
0.045045	0.448052	1.370117
0.045045	0.452381	1.361328
0.047297	0.452381	1.359375
0.047297	0.456710	1.355469
0.047297	0.461039	1.353516
0.047297	0.465368	1.348633
0.047297	0.469697	1.344727
0.049550	0.471861	1.343750
0.049550	0.476190	1.341797
0.049550	0.482684	1.330078
0.049550	0.487013	1.325195
0.049550	0.489177	1.322266
0.051802	0.489177	1.321289
0.051802	0.497835	1.316406
0.051802	0.502165	1.310547
0.054054	0.502165	1.305664
0.056306	0.504329	1.304688
0.058559	0.504329	1.301758
0.058559	0.508658	1.296875
0.060811	0.510823	1.294922
0.060811	0.519481	1.277344
0.063063	0.519481	1.266602
0.063063	0.525974	1.259766
0.069820	0.528139	1.255859
0.072072	0.528139	1.253906
0.072072	0.532468	1.250977
0.072072	0.547619	1.217773
0.074324	0.547619	1.208984
0.074324	0.549784	1.208008
0.076577	0.551948	1.205078
0.076577	0.558442	1.194336
0.078829	0.558442	1.192383
0.078829	0.571429	1.172852
0.081081	0.571429	1.171875
0.081081	0.577922	1.165039
0.083333	0.577922	1.160156
0.083333	0.582251	1.155273
0.085586	0.582251	1.153320
0.090090	0.582251	1.151367
0.090090	0.588745	1.143555
0.094595	0.588745	1.128906
0.094595	0.590909	1.127930
0.096847	0.590909	1.126953
0.096847	0.599567	1.109375
0.099099	0.599567	1.106445
0.099099	0.606061	1.092773
0.101351	0.606061	1.088867
0.101351	0.610390	1.087891
0.101351	0.612554	1.085938
0.101351	0.616883	1.083984
0.103604	0.616883	1.081055
0.103604	0.619048	1.079102
0.108108	0.619048	1.064453
0.108108	0.625541	1.052734
0.108108	0.629870	1.050781
0.108108	0.632035	1.049805
0.110360	0.636364	1.037109
0.112613	0.636364	1.034180
0.112613	0.647186	1.015625
0.114865	0.649351	1.012695
0.117117	0.649351	1.003906
0.117117	0.655844	0.989746
0.121622	0.655844	0.987793
0.121622	0.658009	0.983887
0.123874	0.660173	0.977539
0.123874	0.662338	0.976562
0.130631	0.662338	0.970215
0.130631	0.666667	0.964844
0.132883	0.666667	0.963379
0.132883	0.673160	0.953125
0.137387	0.673160	0.952637
0.139640	0.673160	0.940918
0.139640	0.677489	0.928711
0.144144	0.677489	0.916504
0.144144	0.679654	0.915527
0.146396	0.679654	0.915039
0.146396	0.681818	0.911621
0.153153	0.681818	0.883301
0.153153	0.688312	0.870605
0.157658	0.688312	0.864258
0.157658	0.707792	0.832520
0.159910	0.707792	0.831055
0.159910	0.709957	0.828613
0.164414	0.709957	0.825195
0.164414	0.729437	0.760254
0.166667	0.729437	0.757812
0.166667	0.731602	0.755371
0.168919	0.731602	0.754395
0.168919	0.746753	0.728027
0.171171	0.746753	0.724121
0.171171	0.759740	0.701172
